Time (s),Temp (°C),Error,Control Input
374.0000,14.0007,10.9993,8.7994
375.0000,13.9920,11.0080,8.8064
376.0000,13.9834,11.0166,8.8133
377.0000,13.9748,11.0252,8.8202
378.0000,13.9662,11.0338,8.8271
379.0000,13.9576,11.0424,8.8339
380.0000,13.9491,11.0509,8.8407
381.0000,13.9406,11.0594,8.8475
382.0000,13.9321,11.0679,8.8543
383.0000,13.9236,11.0764,8.8611
384.0000,13.9152,11.0848,8.8679
385.0000,13.9068,11.0932,8.8746
386.0000,13.8984,11.1016,8.8813
387.0000,13.8900,11.1100,8.8880
388.0000,13.8817,11.1183,8.8947
389.0000,13.8734,11.1266,8.9013
390.0000,13.8651,11.1349,8.9079
391.0000,13.8568,11.1432,8.9145
392.0000,13.8486,11.1514,8.9211
393.0000,13.8404,11.1596,8.9277
394.0000,13.8322,11.1678,8.9343
395.0000,13.8240,11.1760,8.9408
396.0000,13.8159,11.1841,8.9473
397.0000,13.8078,11.1922,8.9538
398.0000,13.7997,11.2003,8.9603
399.0000,13.7916,11.2084,8.9667
400.0000,13.7836,11.2164,8.9731
401.0000,13.7756,11.2244,8.9796
402.0000,13.7676,11.2324,8.9860
403.0000,13.7596,11.2404,8.9923
404.0000,13.7516,11.2484,8.9987
405.0000,13.7437,11.2563,9.0050
406.0000,13.7358,11.2642,9.0113
407.0000,13.7279,11.2721,9.0176
408.0000,13.7201,11.2799,9.0239
409.0000,13.7123,11.2877,9.0302
410.0000,13.7045,11.2955,9.0364
411.0000,13.6967,11.3033,9.0426
412.0000,13.6889,11.3111,9.0489
413.0000,13.6812,11.3188,9.0550
414.0000,13.6735,11.3265,9.0612
415.0000,13.6658,11.3342,9.0674
416.0000,13.6581,11.3419,9.0735
417.0000,13.6505,11.3495,9.0796
418.0000,13.6429,11.3571,9.0857
419.0000,13.6353,11.3647,9.0918
420.0000,13.6277,11.3723,9.0978
421.0000,13.6202,11.3798,9.1039
422.0000,13.6126,11.3874,9.1099
423.0000,13.6051,11.3949,9.1159
424.0000,13.5976,11.4024,9.1219
425.0000,13.5902,11.4098,9.1279
426.0000,13.5827,11.4173,9.1338
427.0000,13.5753,11.4247,9.1397
428.0000,13.5679,11.4321,9.1456
429.0000,13.5606,11.4394,9.1515
430.0000,13.5532,11.4468,9.1574
431.0000,13.5459,11.4541,9.1633
432.0000,13.5386,11.4614,9.1691
433.0000,13.5313,11.4687,9.1750
434.0000,13.5240,11.4760,9.1808
435.0000,13.5168,11.4832,9.1866
436.0000,13.5096,11.4904,9.1923
437.0000,13.5024,11.4976,9.1981
438.0000,13.4952,11.5048,9.2038
439.0000,13.4881,11.5119,9.2095
440.0000,13.4809,11.5191,9.2152
441.0000,13.4738,11.5262,9.2209
442.0000,13.4667,11.5333,9.2266
443.0000,13.4597,11.5403,9.2323
444.0000,13.4526,11.5474,9.2379
445.0000,13.4456,11.5544,9.2435
446.0000,13.4386,11.5614,9.2491
447.0000,13.4316,11.5684,9.2547
448.0000,13.4247,11.5753,9.2603
449.0000,13.4177,11.5823,9.2658
450.0000,13.4108,11.5892,9.2714
451.0000,13.4039,11.5961,9.2769
452.0000,13.3970,11.6030,9.2824
453.0000,13.3902,11.6098,9.2879
454.0000,13.3833,11.6167,9.2933
455.0000,13.3765,11.6235,9.2988
456.0000,13.3697,11.6303,9.3042
457.0000,13.3629,11.6371,9.3097
458.0000,13.3562,11.6438,9.3151
459.0000,13.3494,11.6506,9.3204
460.0000,13.3427,11.6573,9.3258
461.0000,13.3360,11.6640,9.3312
462.0000,13.3294,11.6706,9.3365
463.0000,13.3227,11.6773,9.3418
464.0000,13.3161,11.6839,9.3471
465.0000,13.3095,11.6905,9.3524
466.0000,13.3029,11.6971,9.3577
467.0000,13.2963,11.7037,9.3630
468.0000,13.2897,11.7103,9.3682
469.0000,13.2832,11.7168,9.3734
470.0000,13.2767,11.7233,9.3787
471.0000,13.2702,11.7298,9.3839
472.0000,13.2637,11.7363,9.3890
473.0000,13.2572,11.7428,9.3942
474.0000,13.2508,11.7492,9.3994
475.0000,13.2444,11.7556,9.4045
476.0000,13.2380,11.7620,9.4096
477.0000,13.2316,11.7684,9.4147
478.0000,13.2252,11.7748,9.4198
479.0000,13.2189,11.7811,9.4249
480.0000,13.2126,11.7874,9.4299
481.0000,13.2063,11.7937,9.4350
482.0000,13.2000,11.8000,9.4400
483.0000,13.1937,11.8063,9.4450
484.0000,13.1875,11.8125,9.4500
485.0000,13.1812,11.8188,9.4550
486.0000,13.1750,11.8250,9.4600
487.0000,13.1688,11.8312,9.4649
488.0000,13.1627,11.8373,9.4699
489.0000,13.1565,11.8435,9.4748
490.0000,13.1504,11.8496,9.4797
491.0000,13.1443,11.8557,9.4846
492.0000,13.1382,11.8618,9.4895
493.0000,13.1321,11.8679,9.4943
494.0000,13.1260,11.8740,9.4992
495.0000,13.1200,11.8800,9.5040
496.0000,13.1139,11.8861,9.5088
497.0000,13.1079,11.8921,9.5136
498.0000,13.1020,11.8980,9.5184
499.0000,13.0960,11.9040,9.5232
500.0000,13.0900,11.9100,9.5280
501.0000,13.0841,11.9159,9.5327
502.0000,13.0782,11.9218,9.5375
503.0000,13.0723,11.9277,9.5422
504.0000,13.0664,11.9336,9.5469
505.0000,13.0605,11.9395,9.5516
506.0000,13.0547,11.9453,9.5563
507.0000,13.0488,11.9512,9.5609
508.0000,13.0430,11.9570,9.5656
509.0000,13.0372,11.9628,9.5702
510.0000,13.0315,11.9685,9.5748
511.0000,13.0257,11.9743,9.5794
512.0000,13.0199,11.9801,9.5840
513.0000,13.0142,11.9858,9.5886
514.0000,13.0085,11.9915,9.5932
515.0000,13.0028,11.9972,9.5977
516.0000,12.9971,12.0029,9.6023
517.0000,12.9915,12.0085,9.6068
518.0000,12.9858,12.0142,9.6113
519.0000,12.9802,12.0198,9.6158
520.0000,12.9746,12.0254,9.6203
521.0000,12.9690,12.0310,9.6248
522.0000,12.9634,12.0366,9.6292
523.0000,12.9579,12.0421,9.6337
524.0000,12.9524,12.0476,9.6381
525.0000,12.9468,12.0532,9.6425
526.0000,12.9413,12.0587,9.6469
527.0000,12.9358,12.0642,9.6513
528.0000,12.9304,12.0696,9.6557
529.0000,12.9249,12.0751,9.6601
530.0000,12.9195,12.0805,9.6644
531.0000,12.9140,12.0860,9.6688
532.0000,12.9086,12.0914,9.6731
533.0000,12.9032,12.0968,9.6774
534.0000,12.8979,12.1021,9.6817
535.0000,12.8925,12.1075,9.6860
536.0000,12.8871,12.1129,9.6903
537.0000,12.8818,12.1182,9.6945
538.0000,12.8765,12.1235,9.6988
539.0000,12.8712,12.1288,9.7030
540.0000,12.8659,12.1341,9.7073
541.0000,12.8607,12.1393,9.7115
542.0000,12.8554,12.1446,9.7157
543.0000,12.8502,12.1498,9.7199
544.0000,12.8450,12.1550,9.7240
545.0000,12.8398,12.1602,9.7282
546.0000,12.8346,12.1654,9.7323
547.0000,12.8294,12.1706,9.7365
548.0000,12.8243,12.1757,9.7406
549.0000,12.8191,12.1809,9.7447
550.0000,12.8140,12.1860,9.7488
551.0000,12.8089,12.1911,9.7529
552.0000,12.8038,12.1962,9.7570
553.0000,12.7987,12.2013,9.7610
554.0000,12.7937,12.2063,9.7651
555.0000,12.7886,12.2114,9.7691
556.0000,12.7836,12.2164,9.7731
557.0000,12.7786,12.2214,9.7772
558.0000,12.7736,12.2264,9.7812
559.0000,12.7686,12.2314,9.7851
560.0000,12.7636,12.2364,9.7891
561.0000,12.7586,12.2414,9.7931
562.0000,12.7537,12.2463,9.7970
